,0
532,60.0
533,20.0
534,20.0
535,12.936
536,60.0
537,20.0
538,20.0
539,60.0
540,20.0
541,40.95
542,20.0
543,20.0
544,20.0
545,20.0
546,20.0
547,20.0
548,20.0
549,20.0
550,13.25
551,40.74
552,20.0
553,13.26
554,65.34
555,20.0
556,69.15
557,20.0
558,20.0
559,20.0
560,20.0
561,20.0
562,20.0
563,13.878
564,60.0
565,20.0
566,20.0
567,67.29
568,63.46
569,20.0
570,20.0
571,20.0
572,20.0
573,20.0
574,20.0
575,20.0
576,100.0
577,20.0
578,40.926
579,64.3
580,66.27
581,20.0
582,13.442
583,20.0
584,100.0
585,12.766
586,34.33
587,20.0
588,60.0
589,42.594
590,39.564
591,20.0
592,20.0
593,100.0
594,13.342
595,13.012
596,20.0
597,20.0
598,13.136
599,20.0
600,20.0
601,20.0
602,20.0
603,20.0
604,38.514
605,20.0
606,14.116
607,100.0
608,20.0
609,20.0
610,20.0
611,13.55
612,21.618
613,20.0
614,100.0
615,13.99
616,20.0
617,100.0
618,67.04
619,20.0
620,20.0
621,35.86
622,14.0
623,20.0
624,20.0
625,13.536
626,42.282
627,12.842
628,20.0
629,20.0
630,12.892
631,20.0
632,20.0
633,20.0
634,20.0
635,20.0
636,13.104
637,20.0
638,20.0
639,20.0
640,20.0
641,20.0
642,20.0
643,20.0
644,20.0
645,20.0
646,20.0
647,36.46
648,20.0
649,20.0
650,20.0
651,20.0
652,20.0
653,60.0
654,65.59
655,20.0
656,20.0
657,100.0
658,20.0
659,39.354
660,20.0
661,100.0
662,20.0
663,20.0
664,20.0
665,20.0
666,20.0
667,13.178
668,20.0
669,60.0
670,12.778
671,13.09
672,60.0
673,13.642
674,13.118
675,14.16
676,65.76
677,20.0
678,20.0
679,20.0
680,20.0
681,20.0
682,20.0
683,60.0
684,40.578
685,20.0
686,60.0
687,20.0
688,60.0
689,60.0
690,40.602
691,20.0
692,20.0
693,20.0
694,60.0
695,13.606
696,100.0
697,41.64
698,20.0
699,20.0
700,100.0
701,20.0
702,20.0
703,20.0
704,20.0
705,12.932
706,38.664
707,100.0
708,20.0
709,20.0
710,20.0
711,20.0
712,20.0
713,20.0
714,20.0
715,20.0
716,20.0
717,20.0
718,40.626
719,20.0
720,20.0
721,20.0
722,20.0
723,20.0
724,20.0
725,20.0
726,100.0
727,20.0
728,20.0
729,13.13
730,38.97
731,20.0
732,20.0
733,20.0
734,68.68
735,20.0
736,41.166
737,60.0
738,20.0
739,20.0
740,38.826
741,20.0
742,39.942
743,100.0
744,20.0
745,20.0
746,60.0
747,100.0
748,39.576
749,20.0
750,100.0
751,100.0
752,20.0
753,12.726
754,100.0
755,20.0
756,13.376
757,20.0
758,20.0
759,14.316
760,60.0
761,20.0
762,20.0
763,20.0
764,13.448
765,20.0
766,20.0
767,20.0
768,20.0
769,20.0
770,13.002
771,39.954
772,20.0
773,20.0
774,20.0
775,20.0
776,100.0
777,20.0
778,67.03
779,20.0
780,20.0
781,13.764
782,60.0
783,20.0
784,12.91
785,40.416
786,20.0
787,60.0
788,12.784
789,12.668
790,100.0
791,20.0
792,20.0
793,20.0
794,20.0
795,20.0
796,20.0
797,13.142
798,20.0
799,100.0
800,20.0
801,13.878
802,20.0
803,20.0
804,20.0
805,20.0
806,67.83
807,100.0
808,20.0
809,20.0
810,20.0
811,20.0
812,20.0
813,20.0
814,20.0
815,20.0
816,60.0
817,20.0
818,20.0
819,20.0
820,20.0
821,20.0
822,65.44
823,20.0
824,13.374
825,20.0
826,20.0
827,100.0
828,20.0
829,20.0
830,100.0
831,20.0
832,60.0
833,60.0
834,20.0
835,22.392
836,13.098
837,13.132
838,20.0
839,20.0
840,20.0
841,66.0
842,20.0
843,20.0
844,20.0
845,20.0
846,39.36
847,20.0
848,20.0
849,20.0
850,20.0
851,100.0
852,12.722
853,36.822
854,20.0
855,20.0
856,20.0
857,20.0
858,20.0
859,60.0
860,40.23
861,20.0
862,20.0
863,20.0
864,100.0
865,20.0
866,20.0
867,60.0
868,20.0
869,20.0
870,20.0
871,13.266
872,20.0
873,13.932
874,13.868
875,60.0
876,20.0
877,20.0
878,20.0
879,7.216
880,20.0
881,20.0
882,65.99
883,20.0
884,20.0
885,20.0
886,20.0
887,35.58
888,20.0
889,20.0
890,20.0
891,41.802
892,20.0
893,13.474
894,100.0
895,40.164
896,66.97
897,20.0
898,67.75
899,20.0
900,38.934
901,40.398
902,71.42
903,20.0
904,66.0
905,60.0
906,20.0
907,20.0
908,100.0
909,20.0
910,13.704
911,20.0
912,20.0
913,20.0
914,20.0
915,20.0
916,100.0
917,20.0
918,20.0
919,20.0
920,13.442
921,64.97
922,20.0
923,20.0
924,20.0
925,20.0
926,20.0
927,67.35
928,38.97
929,20.0
930,20.0
931,13.09
932,20.0
933,20.0
934,6.796
935,20.0
936,20.0
937,13.196
938,20.0
939,13.544
940,20.0
941,20.0
942,20.0
943,20.0
944,20.0
945,20.0
946,20.0
947,20.0
948,20.0
949,20.0
950,20.0
951,20.0
952,37.116
953,20.0
954,20.0
955,20.0
956,20.0
957,20.0
958,20.0
959,20.0
960,20.0
961,20.0
962,20.0
963,60.0
964,20.0
965,20.0
966,20.0
967,100.0
968,20.0
969,100.0
970,20.0
971,60.0
972,20.0
973,20.0
974,41.64
975,13.03
976,20.0
977,35.51
978,20.0
979,20.0
980,20.0
981,20.0
982,20.0
983,20.0
984,20.0
985,100.0
986,60.0
987,65.56
988,20.0
989,35.12
990,60.0
991,20.0
992,20.0
993,20.0
994,20.0
995,20.0
996,20.0
997,40.518
998,20.0
999,13.476
1000,60.0
1001,60.0
1002,39.258
1003,20.0
1004,39.606
1005,60.0
1006,20.0
1007,20.0
1008,20.0
1009,20.0
1010,20.0
1011,20.0
1012,20.0
1013,60.0
1014,100.0
1015,60.0
1016,20.0
1017,20.0
1018,100.0
1019,20.0
1020,20.0
1021,20.0
1022,38.19
1023,20.0
1024,20.0
1025,20.0
1026,37.752
1027,20.0
1028,20.0
1029,20.0
1030,69.87
1031,60.0
1032,20.0
1033,20.0
1034,100.0
1035,20.0
1036,13.878
1037,38.172
1038,20.0
1039,20.0
1040,20.0
1041,20.0
1042,100.0
1043,20.0
1044,20.0
1045,40.824
1046,13.172
1047,13.536
1048,13.978
1049,20.0
1050,100.0
1051,20.0
1052,13.026
1053,60.0
1054,20.0
1055,12.784
1056,40.326
1057,20.0
1058,40.842
1059,41.586
1060,20.0
1061,60.0
1062,68.48
1063,20.0
1064,100.0
1065,20.0
1066,41.256
1067,13.622
1068,20.0
1069,20.0
1070,20.0
1071,20.0
1072,20.0
1073,20.0
1074,60.0
1075,20.0
1076,14.058
1077,13.712
1078,41.07
1079,20.0
1080,60.0
1081,20.0
1082,20.0
1083,13.242
1084,20.0
1085,20.0
1086,20.0
1087,20.0
1088,20.0
1089,20.0
1090,20.0
1091,20.0
1092,20.0
1093,20.0
1094,60.0
1095,13.4
1096,60.0
1097,13.108
1098,20.0
1099,20.0
1100,40.188
1101,20.0
1102,20.0
1103,20.0
1104,14.174
1105,60.0
1106,20.0
1107,13.618
1108,20.0
1109,40.8
1110,20.0
1111,20.0
1112,39.93
1113,60.0
1114,20.0
1115,100.0
1116,13.548
1117,65.93
1118,20.0
1119,13.618
1120,13.56
1121,20.0
1122,20.0
1123,20.0
1124,20.0
1125,40.47
1126,20.0
1127,20.0
1128,20.0
1129,13.976
1130,13.26
1131,13.144
1132,13.68
1133,20.0
1134,38.484
1135,20.0
1136,13.404
1137,20.0
1138,20.0
1139,20.0
1140,13.524
1141,20.0
1142,20.0
1143,20.0
1144,20.0
1145,20.0
1146,40.644
1147,20.0
1148,60.0
1149,20.0
1150,20.0
1151,13.846
1152,20.0
1153,20.0
1154,38.622
1155,20.0
1156,69.97
1157,20.0
1158,20.0
1159,20.0
1160,20.0
1161,37.554
1162,20.0
1163,20.0
1164,20.0
1165,20.0
1166,20.0
1167,12.93
1168,13.142
1169,41.424
1170,20.0
1171,20.0
1172,40.83
1173,20.0
1174,40.032
1175,20.0
1176,20.0
1177,20.0
1178,20.0
1179,20.0
1180,20.0
1181,20.0
1182,20.0
1183,100.0
1184,20.0
1185,20.0
1186,100.0
1187,39.132
1188,20.0
1189,20.0
1190,37.95
1191,13.13
1192,20.0
1193,20.0
1194,14.106
1195,20.0
1196,20.0
1197,65.33
1198,68.09
1199,60.0
1200,20.0
1201,20.0
1202,20.0
1203,20.0
1204,20.0
1205,20.0
1206,20.0
1207,20.0
1208,39.906
1209,100.0
1210,20.0
1211,60.0
1212,20.0
1213,20.0
1214,60.0
1215,20.0
1216,12.87
1217,100.0
1218,20.0
1219,20.0
1220,20.0
1221,12.904
1222,20.0
1223,33.67
1224,20.0
1225,20.0
1226,20.0
1227,20.0
1228,13.374
1229,100.0
1230,20.0
1231,100.0
1232,20.0
1233,60.0
1234,20.0
1235,20.0
1236,14.25
1237,35.8
1238,20.0
1239,20.0
1240,37.896
1241,13.642
1242,20.0
1243,20.0
1244,20.0
1245,18.572
1246,60.0
1247,67.37
1248,20.0
1249,20.0
1250,100.0
1251,100.0
1252,20.0
1253,13.458
1254,100.0
1255,33.66
1256,20.0
1257,20.0
1258,20.0
1259,67.41
1260,20.0
1261,64.87
1262,42.282
1263,60.0
1264,39.6
1265,40.878
1266,12.848
1267,13.034
1268,66.79
1269,20.0
1270,21.9
1271,20.0
1272,13.37
1273,20.0
1274,20.0
1275,12.394
1276,20.0
1277,20.0
1278,20.0
1279,13.31
1280,20.0
1281,20.0
1282,20.0
1283,40.8
1284,20.0
1285,20.0
1286,41.538
1287,70.28
1288,20.0
1289,20.0
1290,20.0
1291,20.0
1292,20.0
1293,20.0
1294,20.0
1295,60.0
1296,100.0
1297,38.922
1298,60.0
1299,64.36
1300,20.0
1301,13.268
1302,20.0
1303,14.054
1304,60.0
1305,20.0
1306,20.0
1307,20.0
1308,60.0
1309,100.0
1310,39.864
1311,20.0
1312,20.0
1313,20.0
1314,20.0
1315,20.0
1316,12.668
1317,20.0
1318,20.0
1319,20.0
1320,13.118
1321,20.0
1322,100.0
1323,13.376
1324,41.052
1325,41.544
1326,100.0
1327,20.0
1328,66.96
1329,100.0
1330,60.0
1331,13.112
1332,14.1
1333,67.35
1334,20.0
1335,13.28
1336,20.0
1337,20.0
1338,20.0
1339,60.0
1340,20.0
1341,37.56
1342,20.0
1343,100.0
1344,20.0
1345,20.0
1346,14.0
1347,20.0
1348,12.666
1349,100.0
1350,20.0
1351,100.0
1352,100.0
1353,65.31
1354,100.0
1355,13.37
1356,20.0
1357,20.0
1358,40.878
1359,20.0
1360,70.21
1361,20.0
1362,13.028
1363,20.0
1364,20.0
1365,20.0
1366,20.0
1367,20.0
1368,20.0
1369,12.996
1370,13.442
1371,40.14
1372,64.97
1373,20.0
1374,20.0
1375,100.0
1376,100.0
1377,20.0
1378,20.0
1379,40.884
1380,20.0
1381,69.07
1382,40.002
1383,100.0
1384,20.0
1385,100.0
1386,20.0
1387,13.426
1388,13.798
1389,20.0
1390,20.0
1391,20.0
1392,41.466
1393,100.0
1394,20.0
1395,20.0
1396,20.0
1397,13.932
1398,41.226
1399,13.358
1400,20.0
1401,20.0
1402,20.0
1403,20.0
1404,100.0
1405,20.0
1406,40.824
1407,100.0
1408,12.888
1409,12.842
1410,20.0
1411,20.0
1412,20.0
1413,20.0
1414,20.0
1415,69.63
1416,20.0
1417,20.0
1418,20.0
1419,100.0
1420,20.0
1421,20.0
1422,20.0
1423,20.0
1424,39.906
1425,20.0
1426,65.66
1427,20.0
1428,13.696
1429,13.074
1430,20.0
1431,60.0
1432,20.0
1433,100.0
1434,20.0
1435,34.3
1436,100.0
1437,20.0
1438,68.89
1439,14.11
1440,20.0
1441,20.0
1442,20.0
1443,100.0
1444,20.0
1445,7.022
1446,60.0
1447,20.0
1448,20.0
1449,40.41
1450,20.0
1451,100.0
1452,13.684
1453,20.0
1454,100.0
1455,20.0
1456,20.0
1457,20.0
1458,20.0
1459,13.266
1460,100.0
1461,20.0
1462,20.0
1463,60.0
1464,60.0
1465,20.0
1466,20.0
1467,20.0
1468,20.0
1469,13.3
1470,40.8
1471,20.0
1472,20.0
1473,37.212
1474,34.14
1475,20.0
1476,60.0
1477,13.436
1478,20.0
1479,14.258
1480,20.0
1481,14.224
1482,13.59
1483,20.0
1484,20.0
1485,100.0
1486,60.0
1487,20.0
1488,20.0
1489,60.0
1490,100.0
1491,20.0
1492,43.476
1493,20.0
1494,13.412
1495,20.0
1496,20.0
1497,20.0
1498,13.738
1499,65.61
1500,20.0
1501,60.0
1502,60.0
1503,20.0
1504,20.0
1505,20.0
1506,20.0
1507,20.0
1508,60.0
1509,20.0
1510,13.494
1511,20.0
1512,60.0
1513,20.0
1514,60.0
1515,60.0
1516,13.944
1517,20.0
1518,100.0
1519,39.768
1520,20.0
1521,60.0
1522,100.0
1523,20.0
1524,20.0
1525,100.0
1526,13.486
1527,60.0
1528,20.0
1529,100.0
1530,14.174
1531,20.0
1532,66.39
1533,42.204
1534,20.0
1535,20.0
1536,100.0
1537,60.0
1538,20.0
1539,20.0
1540,20.0
1541,20.0
1542,20.0
1543,20.0
1544,20.0
1545,41.442
1546,13.436
1547,60.0
1548,100.0
1549,100.0
1550,13.334
1551,68.89
1552,20.0
1553,40.302
1554,71.85
1555,20.25
1556,20.0
1557,38.244
1558,20.0
1559,20.0
1560,40.194
1561,20.0
1562,60.0
1563,20.0
1564,13.054
1565,100.0
1566,64.58
1567,20.0
1568,20.0
1569,20.0
1570,20.0
1571,20.0
1572,13.66
1573,20.0
1574,20.0
1575,20.0
1576,20.0
1577,20.0
1578,20.0
1579,100.0
1580,39.798
1581,14.138
1582,20.0
1583,13.196
1584,13.304
1585,100.0
1586,38.418
1587,20.0
1588,20.0
1589,20.0
1590,100.0
1591,13.786
1592,20.0
1593,20.0
1594,20.0
1595,68.42
1596,20.0
1597,20.0
1598,13.118
1599,100.0
1600,100.0
1601,39.39
1602,20.0
1603,20.0
1604,60.0
1605,13.182
1606,60.0
1607,20.0
1608,20.0
1609,39.492
1610,20.0
1611,100.0
1612,67.11
1613,20.0
1614,60.0
1615,37.224
1616,20.0
1617,20.0
1618,20.0
1619,20.0
1620,20.0
1621,20.0
1622,39.048
1623,100.0
1624,60.0
1625,20.0
1626,21.3
1627,13.952
1628,20.0
1629,60.0
1630,20.0
1631,20.0
1632,60.0
1633,65.22
1634,20.0
1635,20.0
1636,65.76
1637,40.254
1638,13.468
1639,20.0
1640,20.0
1641,40.776
1642,13.484
1643,20.0
1644,67.41
1645,20.0
1646,20.0
1647,41.25
1648,20.0
1649,39.798
1650,100.0
1651,20.0
1652,20.796
1653,20.0
1654,20.0
1655,20.0
1656,20.0
1657,20.0
1658,20.0
1659,20.0
1660,20.0
1661,20.0
1662,13.554
1663,100.0
1664,66.08
1665,20.0
1666,100.0
1667,64.52
1668,38.298
1669,20.0
1670,20.0
1671,20.0
1672,11.836
1673,68.32
1674,13.27
1675,12.962
1676,100.0
1677,20.0
1678,66.81
1679,13.132
1680,60.0
1681,40.824
1682,37.05
1683,20.0
1684,39.546
1685,40.89
1686,20.0
1687,13.374
1688,20.0
1689,20.0
1690,20.0
1691,12.91
1692,60.0
1693,20.0
1694,13.816
1695,20.0
1696,20.0
1697,20.0
1698,13.732
1699,20.0
1700,20.0
1701,20.0
1702,40.986
1703,20.0
1704,20.0
1705,20.0
1706,20.0
1707,20.0
1708,20.0
1709,100.0
1710,60.0
1711,20.0
1712,20.0
1713,20.0
1714,13.85
1715,20.0
1716,20.0
1717,20.0
1718,20.0
1719,13.976
1720,20.0
1721,20.0
1722,20.0
1723,20.0
1724,20.0
1725,13.388
1726,20.0
1727,67.01
1728,40.452
1729,20.0
1730,20.0
1731,20.0
1732,67.15
1733,20.0
1734,20.0
1735,100.0
1736,20.0
1737,66.34
1738,67.03
1739,65.65
1740,20.0
1741,37.746
1742,12.736
1743,20.0
1744,100.0
1745,100.0
1746,100.0
1747,100.0
1748,20.0
1749,100.0
1750,20.0
1751,20.0
1752,42.168
1753,60.0
1754,38.748
1755,20.0
1756,60.0
1757,13.754
1758,65.98
1759,67.12
1760,20.0
1761,60.0
1762,39.132
1763,68.06
1764,100.0
1765,20.0
1766,20.0
1767,100.0
1768,100.0
1769,100.0
1770,100.0
1771,20.0
1772,20.0
1773,20.0
1774,20.0
1775,20.0
1776,64.88
1777,38.838
1778,60.0
1779,14.02
1780,20.0
1781,20.0
1782,20.0
1783,13.264
1784,20.0
1785,60.0
1786,60.0
1787,20.0
1788,14.088
1789,20.0
1790,39.684
1791,20.0
1792,20.0
1793,20.0
1794,100.0
1795,65.44
1796,40.284
1797,20.0
1798,20.0
1799,60.0
1800,60.0
1801,60.0
1802,20.0
1803,60.0
1804,20.0
1805,20.0
1806,39.042
1807,20.0
1808,60.0
1809,60.0
1810,13.256
1811,60.0
1812,100.0
1813,100.0
1814,100.0
1815,20.0
1816,13.612
1817,60.0
1818,14.072
1819,100.0
1820,20.0
1821,39.426
1822,60.0
1823,20.0
1824,60.0
1825,66.69
1826,20.0
1827,20.0
1828,13.712
1829,13.14
1830,13.238
1831,20.0
1832,60.0
1833,60.0
1834,20.0
1835,12.962
1836,20.0
1837,20.0
1838,20.0
1839,41.154
1840,13.228
1841,20.0
1842,69.15
1843,60.0
1844,100.0
1845,20.0
1846,60.0
1847,41.814
1848,60.0
1849,14.168
1850,20.0
1851,20.0
1852,100.0
1853,13.898
1854,12.762
1855,20.0
1856,40.146
1857,100.0
1858,41.73
1859,20.0
1860,100.0
1861,20.0
1862,12.384
1863,20.0
1864,13.258
1865,100.0
1866,60.0
1867,39.6
1868,20.0
1869,20.0
1870,20.0
1871,20.0
1872,20.0
1873,60.0
1874,40.686
1875,20.0
1876,20.0
1877,20.0
1878,38.13
1879,41.172
1880,41.052
1881,13.27
1882,42.246
1883,13.016
1884,20.0
1885,13.402
1886,40.002
1887,12.97
1888,60.0
1889,60.0
1890,60.0
1891,20.0
1892,20.0
1893,63.54
1894,12.656
1895,20.0
1896,21.072
1897,20.0
1898,20.0
1899,60.0
1900,20.0
1901,20.0
1902,39.228
1903,60.0
1904,20.0
1905,20.0
1906,20.0
1907,20.0
1908,20.0
1909,20.0
1910,20.0
1911,20.0
1912,60.0
1913,20.0
1914,41.334
1915,20.0
1916,13.798
1917,65.59
1918,60.0
1919,20.0
1920,60.0
1921,60.0
1922,100.0
1923,20.0
1924,20.0
1925,66.67
1926,39.42
1927,39.174
1928,13.676
1929,100.0
1930,13.266
1931,20.0
1932,100.0
1933,38.298
1934,60.0
1935,38.43
1936,12.608
1937,100.0
1938,13.076
1939,100.0
1940,38.496
1941,38.712
1942,100.0
1943,100.0
1944,63.64
1945,20.0
1946,38.982
1947,13.474
1948,60.0
1949,60.0
1950,20.0
1951,41.538
1952,20.0
1953,67.53
1954,20.0
1955,20.0
1956,65.25
1957,20.0
1958,20.0
1959,66.67
1960,7.092
1961,67.37
1962,100.0
1963,13.112
1964,39.93
1965,13.71
1966,60.0
1967,20.0
1968,60.0
1969,13.068
1970,20.0
1971,60.0
1972,13.264
1973,38.478
1974,36.26
1975,68.89
1976,100.0
1977,20.0
1978,20.0
1979,20.0
1980,20.0
1981,66.17
1982,20.0
1983,13.196
1984,39.558
1985,20.0
1986,20.0
1987,20.0
1988,13.356
1989,20.0
1990,20.0
1991,60.0
1992,20.0
1993,20.0
1994,60.0
1995,20.0
1996,20.0
1997,14.094
1998,100.0
1999,100.0
2000,20.0
2001,20.0
2002,13.264
2003,20.0
2004,100.0
2005,20.0
2006,20.0
2007,20.0
2008,20.0
2009,20.0
2010,20.0
2011,13.242
2012,100.0
2013,13.47
2014,20.0
2015,20.0
2016,20.0
2017,60.0
2018,20.0
2019,67.71
2020,67.68
2021,20.0
2022,20.0
2023,100.0
2024,20.0
2025,12.736
2026,20.0
2027,20.0
2028,20.0
2029,13.156
2030,100.0
2031,20.0
2032,20.0
2033,20.0
2034,20.0
2035,20.0
2036,20.0
2037,20.0
2038,39.18
2039,13.676
2040,100.0
2041,20.0
2042,20.0
2043,20.0
2044,60.0
2045,20.0
2046,20.0
2047,60.0
2048,20.0
2049,20.0
2050,20.0
2051,64.58
2052,20.0
2053,14.226
2054,20.0
2055,20.0
2056,14.088
2057,100.0
2058,13.102
2059,60.0
2060,20.0
2061,35.2
2062,13.47
2063,20.0
2064,40.644
2065,20.0
2066,20.0
2067,100.0
2068,12.968
2069,20.0
2070,68.09
2071,12.93
2072,20.0
2073,20.0
2074,20.0
2075,13.974
2076,42.048
2077,13.14
2078,60.0
2079,40.758
2080,38.196
2081,40.14
2082,20.0
2083,20.0
2084,20.0
2085,13.572
2086,100.0
2087,20.0
2088,20.0
2089,14.02
2090,41.052
2091,13.674
2092,20.0
2093,20.0
2094,12.444
2095,20.0
2096,68.89
2097,20.0
2098,12.842
2099,20.0
2100,20.0
2101,12.772
2102,60.0
2103,20.0
2104,20.0
2105,100.0
2106,20.0
2107,60.0
2108,20.0
2109,20.0
2110,40.458
2111,40.524
2112,20.0
2113,20.0
2114,13.83
2115,20.0
2116,20.0
2117,20.0
2118,20.0
2119,60.0
2120,13.738
2121,20.0
2122,39.348
2123,20.0
2124,12.97
2125,20.0
2126,20.0
2127,13.548
2128,20.0
2129,20.0
2130,20.0
2131,20.0
2132,6.904
2133,13.72
2134,38.85
2135,13.444
2136,100.0
2137,20.0
2138,63.67
2139,20.0
2140,20.0
